start_time,stop_time,date,site_ID,sample_ID,FileID_csv,light_dark,run_block,chamber_channel,weight_g,volume_mL,chla
2026-06-25T09:30:00Z,2026-06-25T10:00:00Z,2026-06-25,PS1,PS1.3_RUN2,PS1.3_RUN2_O2.csv,LIGHT,MPW_RUN2,9,1,500,1
2026-06-25T08:45:00Z,2026-06-25T09:15:00Z,2026-06-25,PS3,PS3.2_RUN2,PS3.2_RUN2_O2.csv,LIGHT,MPW_RUN2,10,1,500,1
2026-06-25T08:45:00Z,2026-06-25T09:15:00Z,2026-06-25,PS4,PS4.3_RUN2,PS4.3_RUN2_O2.csv,LIGHT,MPW_RUN2,11,1,500,1
2026-06-25T08:45:00Z,2026-06-25T09:15:00Z,2026-06-25,PS3,PS3.3_RUN2,PS3.3_RUN2_O2.csv,LIGHT,MPW_RUN2,12,1,500,1
2026-06-27T09:05:00Z,2026-06-27T11:30:00Z,2026-06-27,PS4,PS4.1_RUN3,PS4.1_RUN3_O2.csv,DARK,MPW_RUN3,1,1,500,1
2026-06-27T09:15:00Z,2026-06-27T10:45:00Z,2026-06-27,PS3,PS3.3_RUN3,PS3.3_RUN3_O2.csv,DARK,MPW_RUN3,2,1,500,1
2026-06-27T09:15:00Z,2026-06-27T10:40:00Z,2026-06-27,PS1,PS1.2_RUN3,PS1.2_RUN3_O2.csv,DARK,MPW_RUN3,3,1,500,1
2026-06-27T09:15:00Z,2026-06-27T11:30:00Z,2026-06-27,PS2,PS2.2_RUN3,PS2.2_RUN3_O2.csv,DARK,MPW_RUN3,4,1,500,1
2026-06-27T09:15:00Z,2026-06-27T10:55:00Z,2026-06-27,PS3,PS3.1_RUN3,PS3.1_RUN3_O2.csv,DARK,MPW_RUN3,5,1,500,1
2026-06-27T09:15:00Z,2026-06-27T10:45:00Z,2026-06-27,PS4,PS4.3_RUN3,PS4.3_RUN3_O2.csv,DARK,MPW_RUN3,6,1,500,1
2026-06-27T09:15:00Z,2026-06-27T11:30:00Z,2026-06-27,PS1,PS1.3_RUN3,PS1.3_RUN3_O2.csv,DARK,MPW_RUN3,7,1,500,1
2026-06-27T09:40:00Z,2026-06-27T10:40:00Z,2026-06-27,PS2,PS2.1_RUN3,PS2.1_RUN3_O2.csv,DARK,MPW_RUN3,8,1,500,1
2026-06-27T09:15:00Z,2026-06-27T10:45:00Z,2026-06-27,PS3,PS3.2_RUN3,PS3.2_RUN3_O2.csv,DARK,MPW_RUN3,9,1,500,1
2026-06-27T09:15:00Z,2026-06-27T10:30:00Z,2026-06-27,PS4,PS4.2_RUN3,PS4.2_RUN3_O2.csv,DARK,MPW_RUN3,10,1,500,1
2026-06-27T09:15:00Z,2026-06-27T10:45:00Z,2026-06-27,PS2,PS2.3_RUN3,PS2.3_RUN3_O2.csv,DARK,MPW_RUN3,11,1,500,1
2026-06-27T09:15:00Z,2026-06-27T10:40:00Z,2026-06-27,PS1,PS1.1_RUN3,PS1.1_RUN3_O2.csv,DARK,MPW_RUN3,12,1,500,1
2026-06-27T14:20:00Z,2026-06-27T14:50:00Z,2026-06-27,PS4,PS4.1_RUN3,PS4.1_RUN3_O2.csv,LIGHT,MPW_RUN3,1,1,500,1
2026-06-27T12:15:00Z,2026-06-27T14:50:00Z,2026-06-27,PS3,PS3.3_RUN3,PS3.3_RUN3_O2.csv,LIGHT,MPW_RUN3,2,1,500,1
2026-06-27T11:55:00Z,2026-06-27T12:15:00Z,2026-06-27,PS1,PS1.2_RUN3,PS1.2_RUN3_O2.csv,LIGHT,MPW_RUN3,3,1,500,1
2026-06-27T11:55:00Z,2026-06-27T14:15:00Z,2026-06-27,PS2,PS2.2_RUN3,PS2.2_RUN3_O2.csv,LIGHT,MPW_RUN3,4,1,500,1
2026-06-27T12:47:00Z,2026-06-27T14:50:00Z,2026-06-27,PS3,PS3.1_RUN3,PS3.1_RUN3_O2.csv,LIGHT,MPW_RUN3,5,1,500,1
2026-06-27T11:55:00Z,2026-06-27T14:55:00Z,2026-06-27,PS4,PS4.3_RUN3,PS4.3_RUN3_O2.csv,LIGHT,MPW_RUN3,6,1,500,1
2026-06-27T14:25:00Z,2026-06-27T14:55:00Z,2026-06-27,PS1,PS1.3_RUN3,PS1.3_RUN3_O2.csv,LIGHT,MPW_RUN3,7,1,500,1
2026-06-27T14:23:00Z,2026-06-27T14:43:00Z,2026-06-27,PS2,PS2.1_RUN3,PS2.1_RUN3_O2.csv,LIGHT,MPW_RUN3,8,1,500,1
2026-06-27T11:57:00Z,2026-06-27T12:15:00Z,2026-06-27,PS3,PS3.2_RUN3,PS3.2_RUN3_O2.csv,LIGHT,MPW_RUN3,9,1,500,1
2026-06-27T14:05:00Z,2026-06-27T14:50:00Z,2026-06-27,PS4,PS4.2_RUN3,PS4.2_RUN3_O2.csv,LIGHT,MPW_RUN3,10,1,500,1
2026-06-27T12:30:00Z,2026-06-27T14:50:00Z,2026-06-27,PS2,PS2.3_RUN3,PS2.3_RUN3_O2.csv,LIGHT,MPW_RUN3,11,1,500,1
2026-06-27T11:58:00Z,2026-06-27T12:20:00Z,2026-06-27,PS1,PS1.1_RUN3,PS1.1_RUN3_O2.csv,LIGHT,MPW_RUN3,12,1,500,1
